AAHED	1	7559
AALII	2	50706
AARGH	3	96654
AARTI	4	48460
ABACA	5	64078
ABACI	6	35761
ABACK	7	36443
ABACS	8	74823
ABAFT	9	9517
ABAKA	10	25897
ABAMP	11	93534
ABAND	12	95402
ABASE	13	74790
ABASH	14	89461
ABASK	15	86688
ABATE	16	82849
ABAYA	17	16621
ABBAS	18	3587
ABBED	19	72646
ABBES	20	42404
ABBEY	21	90827
ABBOT	22	78122
ABCEE	23	52212
ABEAM	24	61478
ABEAR	25	51472
ABELE	26	75274
ABERS	27	39830
ABETS	28	22104
ABHOR	29	7034
ABIDE	30	71118
ABIES	31	91513
ABLED	32	89997
ABLER	33	22331
ABLES	34	48594
ABLET	35	88914
ABLOW	36	68874
ABMHO	37	56704
ABODE	38	80164
ABOHM	39	7823
ABOIL	40	70649
ABOMA	41	83905
ABOON	42	85712
ABORD	43	24685
ABORE	44	43320
ABORT	45	41151
ABOUT	46	43744
ABOVE	47	21450
ABRAM	48	30606
ABRAY	49	2692
ABRIM	50	71182
ABRIN	51	73961
ABRIS	52	97691
ABSEY	53	75112
ABSIT	54	23524
ABUNA	55	52411
ABUNE	56	52367
ABUSE	57	98805
ABUTS	58	80679
ABUZZ	59	59082
ABYES	60	27703
ABYSM	61	8113
ABYSS	62	37922
ACAIS	63	92759
ACARI	64	30913
ACCAS	65	91810
ACCOY	66	92640
ACERB	67	6839
ACERS	68	27252
ACETA	69	59266
ACHAR	70	21697
ACHED	71	3785
ACHES	72	87636
ACHOO	73	95418
ACIDS	74	57722
ACIDY	75	18933
ACING	76	81096
ACINI	77	10659
ACKEE	78	69328
ACKER	79	55009
ACMES	80	87017
ACMIC	81	12923
ACNED	82	62854
ACNES	83	57645
ACOCK	84	66803
ACOLD	85	18913
ACORN	86	82149
ACRED	87	63062
ACRES	88	20675
ACRID	89	83717
ACROS	90	82527
ACTED	91	52772
ACTIN	92	20218
ACTON	93	82570
ACTOR	94	66950
ACUTE	95	14442
ACYLS	96	46643
ADAGE	97	8825
ADAPT	98	84807
ADAWS	99	87313
ADAYS	100	79355
ADBOT	101	304
ADDAX	102	18426
ADDED	103	35352
ADDER	104	83292
ADDIO	105	20910
ADDLE	106	73144
ADEEM	107	93712
ADEPT	108	10918
ADHAN	109	52981
ADIEU	110	94081
ADIOS	111	34713
ADITS	112	66332
ADMAN	113	69209
ADMEN	114	37937
ADMIN	115	10317
ADMIT	116	91115
ADMIX	117	42096
ADOBE	118	8923
ADOBO	119	57839
ADOPT	120	44504
ADORE	121	17461
ADORN	122	50479
ADOWN	123	45865
ADOZE	124	38442
ADRAD	125	40770
ADRED	126	53965
ADSUM	127	86150
ADUKI	128	98997
ADULT	129	27531
ADUNC	130	66103
ADUST	131	83837
ADVEW	132	44117
ADYTA	133	43646
ADZED	134	24729
ADZES	135	90046
AECIA	136	76667
AEDES	137	75492
AEGIS	138	75610
AEONS	139	95029
AERIE	140	17399
AEROS	141	69561
AESIR	142	25605
AFALD	143	85305
AFARA	144	99997
AFARS	145	20489
AFEAR	146	3320
AFFIX	147	17253
AFIRE	148	33640
AFLAJ	149	92490
AFOOT	150	15033
AFORE	151	73028
AFOUL	152	70950
AFRIT	153	87360
AFROS	154	16075
AFTER	155	20314
AGAIN	156	45565
AGAMA	157	36087
AGAMI	158	37388
AGAPE	159	39069
AGARS	160	41024
AGAST	161	14200
AGATE	162	29885
AGAVE	163	80063
AGAZE	164	65800
AGENE	165	3253
AGENT	166	84844
AGERS	167	75731
AGGER	168	2502
AGGIE	169	69282
AGGRI	170	5594
AGGRO	171	73460
AGGRY	172	43156
AGHAS	173	73219
AGILA	174	20436
AGILE	175	95186
AGING	176	61965
AGIOS	177	84830
AGISM	178	65202
AGIST	179	38434
AGITA	180	94200
AGLEE	181	37317
AGLET	182	88312
AGLEY	183	73660
AGLOO	184	46015
AGLOW	185	29017
AGLUS	186	90003
AGMAS	187	73182
AGOGE	188	60159
AGONE	189	87904
AGONS	190	73691
AGONY	191	12552
AGOOD	192	56769
AGORA	193	51883
AGREE	194	22488
AGRIA	195	43421
AGRIN	196	62149
AGROS	197	73194
AGUED	198	96835
AGUES	199	47677
AGUNA	200	65183
AGUTI	201	69560
AHEAD	202	16463
AHEAP	203	90829
AHENT	204	72679
AHIGH	205	15284
AHIND	206	19134
AHING	207	17889
AHINT	208	50082
AHOLD	209	86415
AHULL	210	26614
AHURU	211	60547
AIDAS	212	8978
AIDED	213	86484
AIDER	214	64308
AIDES	215	18310
AIDOI	216	67394
AIDOS	217	16624
AIERY	218	77322
AIGAS	219	71792
AIGHT	220	1332
AILED	221	28737
AIMED	222	88845
AIMER	223	80961
AINEE	224	2766
AINGA	225	77513
AIOLI	226	65235
AIRED	227	19215
AIRER	228	42848
AIRNS	229	29699
AIRTH	230	80332
AIRTS	231	90172
AISLE	232	26434
AITCH	233	5616
AITUS	234	58550
AIVER	235	62846
AIYEE	236	12254
AIZLE	237	36959
AJIES	238	93685
AJIVA	239	24
AJUGA	240	8012
AJWAN	241	65910
AKEES	242	53296
AKELA	243	23152
AKENE	244	66716
AKING	245	76660
AKITA	246	63097
AKKAS	247	74665
ALAAP	248	83865
ALACK	249	55889
ALAMO	250	34124
ALAND	251	91111
ALANE	252	34658
ALANG	253	39773
ALANS	254	29303
ALANT	255	92586
ALAPA	256	75469
ALAPS	257	59038
ALARM	258	67690
ALARY	259	91319
ALATE	260	70315
ALAYS	261	43024
ALBAS	262	29090
ALBEE	263	68608
ALBUM	264	31552
ALCID	265	27622
ALCOS	266	59667
ALDEA	267	2232
ALDER	268	60188
ALDOL	269	86089
ALECK	270	44492
ALECS	271	85989
ALEFS	272	5392
ALEFT	273	81078
ALEPH	274	71760
ALERT	275	98566
ALEWS	276	69614
ALEYE	277	21711
ALFAS	278	6335
ALGAE	279	70679
ALGAL	280	71654
ALGAS	281	68995
ALGID	282	85604
ALGIN	283	73286
ALGOR	284	18898
ALGUM	285	43311
ALIAS	286	87715
ALIBI	287	98374
ALIEN	288	98360
ALIFS	289	95980
ALIGN	290	61028
ALIKE	291	9067
ALINE	292	62806
ALIST	293	28713
ALIVE	294	47571
ALIYA	295	68076
ALKIE	296	58741
ALKOS	297	30948
ALKYD	298	11955
ALKYL	299	89856
ALLAY	300	46367
ALLEE	301	61270
ALLEL	302	63157
ALLEY	303	24500
ALLIS	304	15408
ALLOD	305	6917
ALLOT	306	99447
ALLOW	307	74913
ALLOY	308	89739
ALLYL	309	81615
ALMAH	310	55537
ALMAS	311	20504
ALMEH	312	28414
ALMES	313	19471
ALMUD	314	39246
ALMUG	315	3348
ALODS	316	69168
ALOED	317	18781
ALOES	318	46529
ALOFT	319	52669
ALOHA	320	8839
ALOIN	321	98567
ALONE	322	80343
ALONG	323	92974
ALOOF	324	73989
ALOOS	325	33177
ALOUD	326	23951
